id,data_subject_id,email,password_hash,breach_source,industry,text
32,terry61@gmail.com,terry61@gmail.com,75ca90e2d97af34177436a3bbad1b17a29c0904802b4ebdedcb9b6dd80fc2447,Brooks-Ferguson,healthcare,terry61@gmail.com | martinez.com | leaked from Brooks-Ferguson
33,flong@hotmail.com,flong@hotmail.com,dba9124640bf582c9f08c5c4f5612839832e459b254e4a808f427992ee7eff6a,Sanchez-Burnett,gov,flong@hotmail.com | williams-barber.com | leaked from Sanchez-Burnett
34,sandrabishop@yahoo.com,sandrabishop@yahoo.com,1a8f6c4a29eae5d785fb9207a92bd3375a498825d06d27d0860d08fa0b05f5be,"Evans, Singh and Moyer",gaming,"sandrabishop@yahoo.com | smith.org | leaked from Evans, Singh and Moyer"
35,wmorse@gmail.com,wmorse@gmail.com,622090f9790d489046f1f6d6ca25428ae52f2387ce795dd34439d8127abc87d9,"Leonard, Robinson and Cunningham",gaming,"wmorse@gmail.com | chandler.biz | leaked from Leonard, Robinson and Cunningham"
36,knightedward@yahoo.com,knightedward@yahoo.com,78623975aa4c02ba46a865a98ac91f1d890a57f74669fc9bafb76dae2d5c401c,"Lowe, Rivera and Martin",retail,"knightedward@yahoo.com | owens-fernandez.net | leaked from Lowe, Rivera and Martin"
37,hardingandrea@yahoo.com,hardingandrea@yahoo.com,4f662a29206301a85b4d6b185a129d6b39b1e76d3cef6b3d31e972ffbaa3518b,Phillips-Kelly,healthcare,hardingandrea@yahoo.com | quinn.com | leaked from Phillips-Kelly
38,barnettjason@hotmail.com,barnettjason@hotmail.com,d85d02d11f3a7b247c8b000bb39e18e7454586082817040ef360f970ae5adebd,Watkins PLC,retail,barnettjason@hotmail.com | carpenter-glenn.net | leaked from Watkins PLC
39,xlee@yahoo.com,xlee@yahoo.com,520f91b6dd0c0aabdfeed7b3ff6a9fc6498ef671546cf24ce2744cb313c45e4c,Lewis Group,gaming,xlee@yahoo.com | white-smith.info | leaked from Lewis Group
40,hansenpeter@gmail.com,hansenpeter@gmail.com,0004256dde1c71eb1d36d8a49f08cf0d440d6068df940b1f97897b77a66c0d21,Hunter and Sons,finance,hansenpeter@gmail.com | cruz-hodges.org | leaked from Hunter and Sons
41,jordan56@hotmail.com,jordan56@hotmail.com,4cfb4ae49e1d557c46808771b502d015fb1a3792cd28f7e8b3794950eb18e16a,Brooks-Williams,gov,jordan56@hotmail.com | cardenas-carter.com | leaked from Brooks-Williams
42,tcline@gmail.com,tcline@gmail.com,35283294b5643b872c8a9b145bb38171781ec8dc7f5baf7d46718f9d48209dcc,"Lam, Williamson and Smith",gaming,"tcline@gmail.com | wilson.com | leaked from Lam, Williamson and Smith"
43,lthornton@hotmail.com,lthornton@hotmail.com,544abf69f70af4933da4416b24bd4f950fc92ef344635f9a121f1eae7bfb6997,Brooks-Garcia,gaming,lthornton@hotmail.com | orr.org | leaked from Brooks-Garcia
44,vrich@yahoo.com,vrich@yahoo.com,81c7880988daaa9290cfb4650e6f2454c2f0c29531833fd06908b914f83c1d06,Williams-Wilson,gaming,vrich@yahoo.com | ross-taylor.com | leaked from Williams-Wilson
45,martinkenneth@yahoo.com,martinkenneth@yahoo.com,6d01be25b60bb8527daf2febbab144b1d16d676e15b39b58bd528e8c38643698,"Smith, Jones and Burton",finance,"martinkenneth@yahoo.com | browning.com | leaked from Smith, Jones and Burton"
46,sanchezkyle@yahoo.com,sanchezkyle@yahoo.com,d6f425087cc1093723682a2bb28f21f8c471149e098bbf0ce49dc50392cdfd17,"Gutierrez, Nicholson and Jordan",finance,"sanchezkyle@yahoo.com | fields.org | leaked from Gutierrez, Nicholson and Jordan"
47,emilyjohnson@hotmail.com,emilyjohnson@hotmail.com,39d9fd8bd6abde1f41ed1d955e93181bb924de400c22e5403a8c78df4ff4b3d7,George-Morris,gov,emilyjohnson@hotmail.com | ware-davis.org | leaked from George-Morris
48,yrodriguez@gmail.com,yrodriguez@gmail.com,f281c4cf09461dea23234856cf9508f5b5a6238011f06e3c7c9afc899af42803,Chambers Group,healthcare,yrodriguez@gmail.com | gonzalez-stevens.net | leaked from Chambers Group
49,ronaldlee@yahoo.com,ronaldlee@yahoo.com,6df6149f69da37dd68b7bb08fb0e1395482d965ae4aa485b25ae16c288bc3854,Bush-Wilson,retail,ronaldlee@yahoo.com | ford.info | leaked from Bush-Wilson
50,ericfreeman@gmail.com,ericfreeman@gmail.com,7a25053cd50f5052d78095d342cbf905a70493d0d95284f0b40bbe1612797d55,"Potter, Salazar and Perez",gov,"ericfreeman@gmail.com | andrews.com | leaked from Potter, Salazar and Perez"
51,alexandriaball@yahoo.com,alexandriaball@yahoo.com,539dbddb5aa526ebb0cac7a61ad2723da89eb01c563a82800fe13e85081b1f0a,Martin Inc,gov,alexandriaball@yahoo.com | ruiz-brady.info | leaked from Martin Inc
52,reynoldssharon@hotmail.com,reynoldssharon@hotmail.com,8000f7bdb0b4b6eef3af60a86bb64c8e02234ff9780741df51e0b34473cf5933,Smith-Holder,gov,reynoldssharon@hotmail.com | arnold.info | leaked from Smith-Holder
53,joshuagray@hotmail.com,joshuagray@hotmail.com,aa6872bcc2979dce0d31e345facba1951496fc5e0033b1d47dbe0a0afcea2196,"Stewart, Davis and Blair",gov,"joshuagray@hotmail.com | olson.com | leaked from Stewart, Davis and Blair"
54,davidcarter@gmail.com,davidcarter@gmail.com,98f3aefde77193f9bcccd582161882ba70331ba554cb8803463cd70ec408b335,"Taylor, Long and Mitchell",gaming,"davidcarter@gmail.com | hicks.net | leaked from Taylor, Long and Mitchell"
55,coreymatthews@yahoo.com,coreymatthews@yahoo.com,8611a34c94f37d0e14a83be332da15db53ebeac65af3df0b8d287140170464fc,Lee LLC,healthcare,coreymatthews@yahoo.com | mendez.org | leaked from Lee LLC
56,robertskenneth@gmail.com,robertskenneth@gmail.com,12988fd9fb04ae159097165c01cd730988b5775a0cf845a47f4c6c00cb98dc15,Hernandez and Sons,finance,robertskenneth@gmail.com | quinn.biz | leaked from Hernandez and Sons
57,paul47@gmail.com,paul47@gmail.com,9061be9cc240ccfec0d4c20ae988c008d4c924db5fe87718841ccfbd392da4f9,Rodriguez-Schmidt,finance,paul47@gmail.com | gross-landry.com | leaked from Rodriguez-Schmidt
58,aaronbates@hotmail.com,aaronbates@hotmail.com,839991d57ff95bcdf03924b3698d90aa780b79e39586fa86c3784b29b15e6744,Davis-Mendoza,gaming,aaronbates@hotmail.com | huber.com | leaked from Davis-Mendoza
59,atkinsonamy@hotmail.com,atkinsonamy@hotmail.com,ca9fe9427ad3889f8fead1c22282f22d5639fba387bd4341dd3725eddaa477f7,Stewart and Sons,gaming,atkinsonamy@hotmail.com | jensen.net | leaked from Stewart and Sons
60,djohnston@hotmail.com,djohnston@hotmail.com,4a8a84d95de45afa3218f607697f5c912158a1fda6b6b48309fcc130d197584c,Mendez-Jimenez,gov,djohnston@hotmail.com | nielsen-cook.info | leaked from Mendez-Jimenez
61,mallorybrown@hotmail.com,mallorybrown@hotmail.com,d263393e6e08af974646abd43b7ddab9dd846a526b64009eaa19db4a5d4fc982,"Potter, Nolan and Jackson",finance,"mallorybrown@hotmail.com | lawson-olson.com | leaked from Potter, Nolan and Jackson"
62,bmolina@gmail.com,bmolina@gmail.com,39608fa6e00015e964ccfa80261003bc7b3bc3c4275f272e874f8f73fbe6b033,Harris-Kramer,healthcare,bmolina@gmail.com | carter.net | leaked from Harris-Kramer
63,sbutler@gmail.com,sbutler@gmail.com,9f968d0ff62777d41bcfef3ff1d6a9ff2c756d439dd227e600e4d3c4b62059f6,Smith-Moses,gaming,sbutler@gmail.com | smith.com | leaked from Smith-Moses
64,rebeccahartman@hotmail.com,rebeccahartman@hotmail.com,9f28b197c799e853214235e444be5552aa1c71cd8c204e6c7ab9e23a282238cf,Mason-Blackwell,finance,rebeccahartman@hotmail.com | everett.org | leaked from Mason-Blackwell
65,jacobglenn@gmail.com,jacobglenn@gmail.com,8661d5a885a8209e491e0a00d282a95c5a39df5e7a03267b4d5a8270a64e3458,Grant and Sons,finance,jacobglenn@gmail.com | drake.biz | leaked from Grant and Sons
66,kreese@yahoo.com,kreese@yahoo.com,710135032b11f9c4641d49c0b39fc250bfc59c33304e1f1c9ce795c9a08a8e62,"Smith, Mcdonald and Garcia",gov,"kreese@yahoo.com | williams-hall.info | leaked from Smith, Mcdonald and Garcia"
67,bobbymartin@gmail.com,bobbymartin@gmail.com,e6834db6feccd2f1aaddea51b3c890b42d2f63031f2202a164a7eefdd8d39535,"Fuller, Turner and Ramos",finance,"bobbymartin@gmail.com | hampton-watson.info | leaked from Fuller, Turner and Ramos"
68,kenneth77@gmail.com,kenneth77@gmail.com,7dda1e1189b562fca4206999a136931bf8723edf05f0af9de2d351c983468634,Mccoy Group,gaming,kenneth77@gmail.com | williams-gonzalez.com | leaked from Mccoy Group
69,sarafernandez@gmail.com,sarafernandez@gmail.com,b4744146710aefa85812e4bdcad769bd063731546aa1511e0e41a8eabdf8afff,Oliver-Pruitt,healthcare,sarafernandez@gmail.com | johnson-schneider.com | leaked from Oliver-Pruitt
70,franklindarryl@yahoo.com,franklindarryl@yahoo.com,3e6aa4554edb02edb75246bf55599d5e5eb08eaa10dd8ed70fa06fdf8124e7a5,Nguyen LLC,retail,franklindarryl@yahoo.com | garcia-pugh.com | leaked from Nguyen LLC
71,ojones@hotmail.com,ojones@hotmail.com,0755cfe7e448b74c1babc6a49bc445696345641358675b3f9f631058e7e3bbfc,"Oneill, Rivera and Carter",healthcare,"ojones@hotmail.com | hill.info | leaked from Oneill, Rivera and Carter"
72,megan73@hotmail.com,megan73@hotmail.com,775a0908e9d5704dfcf251af99d887f9c687d9d6cc92715c1a6ec862e18d9225,"Rivera, Estes and Thomas",gaming,"megan73@hotmail.com | perez.com | leaked from Rivera, Estes and Thomas"
73,nguyenstephanie@gmail.com,nguyenstephanie@gmail.com,fe08d0cff1e759b7c9a8239c69db46766853813e725f54bce7b3dae963827ed1,Ramsey-Casey,gaming,nguyenstephanie@gmail.com | boyd.com | leaked from Ramsey-Casey
74,lgill@gmail.com,lgill@gmail.com,769fca7c261ead4e772523cd64f4d5c479d061b63f3ecb9d1346a7a7cd2ac1fe,Little-Hunter,retail,lgill@gmail.com | brown.info | leaked from Little-Hunter
75,amoreno@yahoo.com,amoreno@yahoo.com,657cfe96512daa2753abfa33d7571ed8ee328dd87e6b5774d029c1e79843c7e9,Rogers Group,gov,amoreno@yahoo.com | parks.com | leaked from Rogers Group
76,larrygilmore@gmail.com,larrygilmore@gmail.com,6aa36e6b157df8fb191c448bfe93b09b782a999087da58975a68fbcf354a265c,Coleman-Waters,healthcare,larrygilmore@gmail.com | perry-ramos.org | leaked from Coleman-Waters
77,ychandler@gmail.com,ychandler@gmail.com,324de5f92e3af0000e602cd7d6f92ce8fa8e5552ff8f269914d41965c408d780,"Braun, Thompson and Carrillo",healthcare,"ychandler@gmail.com | taylor.com | leaked from Braun, Thompson and Carrillo"
78,wilsonwilliam@yahoo.com,wilsonwilliam@yahoo.com,d6a8482b44a4f9df9bfaf3eee50fc0fa298105f5f80bd156720593f8b32a522b,Scott-Patel,finance,wilsonwilliam@yahoo.com | gomez.com | leaked from Scott-Patel
79,pcook@gmail.com,pcook@gmail.com,e022a1b238b4197476f2e9f4be36a30f8a3ad708f69206ee1135ddba5792c1e2,Smith PLC,healthcare,pcook@gmail.com | burton.com | leaked from Smith PLC
80,amy89@gmail.com,amy89@gmail.com,cac6df30e97fdd8d79cdc2a323cd79b0d717dc050e9e01c9956dd4055d596331,Rhodes-Martinez,gov,amy89@gmail.com | martin.net | leaked from Rhodes-Martinez
81,kimberlywilliams@gmail.com,kimberlywilliams@gmail.com,a8675bc5dddd01389646340543caae989f00d497818aaf380a87b45a3c7dbf7b,Anderson Ltd,healthcare,kimberlywilliams@gmail.com | hoover.com | leaked from Anderson Ltd
82,lorijames@gmail.com,lorijames@gmail.com,4cf974e97cdb17866227e59db82648ad729a32c40ad4a15322a453d1574d1b3e,Chavez-Scott,gaming,lorijames@gmail.com | wilson.biz | leaked from Chavez-Scott
83,fvega@yahoo.com,fvega@yahoo.com,3d6b78a3f9db66cab08defeb78515fffca5f105c9e950344928e513671af62ce,"Mcintosh, Larson and Peterson",gov,"fvega@yahoo.com | zimmerman-white.com | leaked from Mcintosh, Larson and Peterson"
84,rosariojacob@gmail.com,rosariojacob@gmail.com,a3ac71e1f0b5e2d4a40abb852a7b5c3d531b29b7769eb08e45d258ff9d15842a,Robbins Group,finance,rosariojacob@gmail.com | johnson.com | leaked from Robbins Group
85,ellisonvicki@yahoo.com,ellisonvicki@yahoo.com,a78b618e629588d10fff68b0f9b6a71d4899884db168c9409af89ef7c49d56a0,Ferguson Inc,retail,ellisonvicki@yahoo.com | browning.com | leaked from Ferguson Inc
86,gbooker@yahoo.com,gbooker@yahoo.com,ed0e533a9e7fe173b509de0f6200267f14e866ee25dadef1bbf84d25ae352741,Rodriguez-Saunders,retail,gbooker@yahoo.com | scott-green.org | leaked from Rodriguez-Saunders
87,shannonboyd@gmail.com,shannonboyd@gmail.com,bf127ad8fb2eff95b1e05ff15a409859df684d595679a9180b5a1633f77d24f3,"Terry, Collins and Ho",gaming,"shannonboyd@gmail.com | medina-jackson.com | leaked from Terry, Collins and Ho"
88,kenneth23@hotmail.com,kenneth23@hotmail.com,4305d67cdd66e93a4ecb218f487c5e65096226a55f1d9c6efa3b5fdeb4a54ecd,Young-Wood,finance,kenneth23@hotmail.com | white-barry.org | leaked from Young-Wood
89,maria91@yahoo.com,maria91@yahoo.com,d6678d48ac3c8060096f9cb94f6bb563b9697413207037dba5858d367fa25163,"Casey, Booth and Gonzalez",healthcare,"maria91@yahoo.com | novak-hampton.biz | leaked from Casey, Booth and Gonzalez"
90,ajones@yahoo.com,ajones@yahoo.com,a9c6add932dc59be5a3ed859a7051ff65527731ffae97b82a54227f48135ee82,"Mendoza, Page and Grant",gov,"ajones@yahoo.com | dixon-weeks.com | leaked from Mendoza, Page and Grant"
91,jessicayork@hotmail.com,jessicayork@hotmail.com,e7a8346d0fe41abfd462959780ae7fa07a60206394821bb50d1cce1217afee27,Bentley-Williams,healthcare,jessicayork@hotmail.com | le-bryant.org | leaked from Bentley-Williams
92,morrisjennifer@hotmail.com,morrisjennifer@hotmail.com,10d807cfd6fda466a5c19012d8626da792985bf60ab2ce94adeec2713f9ef2a4,Hayes-Stewart,finance,morrisjennifer@hotmail.com | nelson.com | leaked from Hayes-Stewart
93,tammybrady@yahoo.com,tammybrady@yahoo.com,d8e0194646dca4ee11c1bc4e64ad5085efede25bec477f40a025ac8658bcaa8c,Lopez-Williams,gov,tammybrady@yahoo.com | sherman.com | leaked from Lopez-Williams
94,matthew75@yahoo.com,matthew75@yahoo.com,2e0b2ed12fb24efae32ac03d83fce24cd13cd52a591ef7a8d92f9aa53423cdc3,Davis Group,retail,matthew75@yahoo.com | james.com | leaked from Davis Group
95,cgutierrez@hotmail.com,cgutierrez@hotmail.com,9d907a1e877e0df848cbd68b4641bb61ae83315b014ce74e349c6010e519aba4,Logan Inc,gov,cgutierrez@hotmail.com | marquez-oliver.com | leaked from Logan Inc
96,xtaylor@yahoo.com,xtaylor@yahoo.com,d74a84014d45143c7059f1801874c13d9b4ca6ebc4f1778a7730390f81bea806,Rodriguez Ltd,gov,xtaylor@yahoo.com | young.com | leaked from Rodriguez Ltd
97,fisherwilliam@gmail.com,fisherwilliam@gmail.com,164d695dcf85eab7196ba6152e8380cd11ff4c85db111a4d5dc73cb2ca36f2f4,Jackson-Jackson,gaming,fisherwilliam@gmail.com | perez.com | leaked from Jackson-Jackson
98,tpatterson@gmail.com,tpatterson@gmail.com,dd1e526dfde4a5a375e4339179af7cb756f98b58f5450d13ba1908d2c6852353,Green-Nelson,gaming,tpatterson@gmail.com | hanson.com | leaked from Green-Nelson
99,dannybowman@gmail.com,dannybowman@gmail.com,2b512b3355fae32f0e2e320153ec5465d96dc6e489fc098b2add383d103d3f71,Mueller Group,gaming,dannybowman@gmail.com | archer.com | leaked from Mueller Group
100,colemanmelissa@yahoo.com,colemanmelissa@yahoo.com,9a4209d989509a99ed32014e242b0ab82d44186cd1636cf2eba83d2f42b2af98,Walker PLC,gov,colemanmelissa@yahoo.com | bruce.com | leaked from Walker PLC
101,wgutierrez@gmail.com,wgutierrez@gmail.com,69d9681c117220ebe180c4e518151228217bcef1f962f83efa5689928115329c,"Huffman, Gardner and Palmer",healthcare,"wgutierrez@gmail.com | brown-montgomery.biz | leaked from Huffman, Gardner and Palmer"
102,scottsamuel@yahoo.com,scottsamuel@yahoo.com,225cf4acc34f866700d5e5db57871c4c608f6a3253b92636202d5ef5e4d46de9,Owens Group,gaming,scottsamuel@yahoo.com | sanchez-thomas.com | leaked from Owens Group
103,kathleen98@hotmail.com,kathleen98@hotmail.com,596b5e8e3313741353e4e7bbac54c3e692c0e3ac4e95b7a5a3370ad415ae7ccc,"Graham, Anderson and Jones",gaming,"kathleen98@hotmail.com | parks-coleman.com | leaked from Graham, Anderson and Jones"
104,prattjames@yahoo.com,prattjames@yahoo.com,18b7c5e732d839eb94ae08ebb000944e640a9f4b21a3de0aed31894f007ea586,Gibson-Gonzalez,gaming,prattjames@yahoo.com | castro.net | leaked from Gibson-Gonzalez
105,jamesryan@yahoo.com,jamesryan@yahoo.com,acbdfe8b6fdf86b0745a0b1bb59b37e4fad70a1d8b00423d00fd4c10a27b610d,Simpson-Macdonald,healthcare,jamesryan@yahoo.com | wright-malone.info | leaked from Simpson-Macdonald
106,sean62@hotmail.com,sean62@hotmail.com,f3fed22272c9ba5de4744dfb3bae0d67bb41a17b2e0978752068f79d393888dc,"Moran, Diaz and Gonzalez",retail,"sean62@hotmail.com | collins.org | leaked from Moran, Diaz and Gonzalez"
107,scraig@gmail.com,scraig@gmail.com,703cb4c7e2a5845defc60c337b8e2f31179e1eb3c18eaee092f48593f8c12f58,Williams-Walker,retail,scraig@gmail.com | arnold.biz | leaked from Williams-Walker
108,davidsawyer@gmail.com,davidsawyer@gmail.com,8ee02ccc9a15f44f8d9fb84a1fa449f18ff72bd29a556fd5c2edf81c70dbfc6e,Henson and Sons,gov,davidsawyer@gmail.com | smith.biz | leaked from Henson and Sons
109,millererika@yahoo.com,millererika@yahoo.com,f40f022d8e35e9e7e3164798484fa96f670239ca2334ef8852c1693a67de39c5,Brown-Palmer,gaming,millererika@yahoo.com | sharp-edwards.com | leaked from Brown-Palmer
110,kristine95@gmail.com,kristine95@gmail.com,78f0b41caf62137dfb0ef15e011f6e97e85d2a309f4d6cfcb3a380b0efe57bb3,"Chandler, Hensley and Wilson",healthcare,"kristine95@gmail.com | levine-valdez.com | leaked from Chandler, Hensley and Wilson"
111,elizabeth87@yahoo.com,elizabeth87@yahoo.com,3eb8d998e356e504dfef46ac4ef6b5f1acf7819508be98dc84ba4b442205f31c,"Wong, Bryan and Brady",retail,"elizabeth87@yahoo.com | powers.info | leaked from Wong, Bryan and Brady"
112,kimberly91@yahoo.com,kimberly91@yahoo.com,48fca80154fc940f4e4b916b203a110ff1ce243c8128086a9acfae82804b98c7,Moore and Sons,finance,kimberly91@yahoo.com | hampton.biz | leaked from Moore and Sons
113,ztaylor@yahoo.com,ztaylor@yahoo.com,fb1148b66abac9d4451c3bc988216c60bd15b2de62d0efb0dfa69ca7948715f0,Hall PLC,healthcare,ztaylor@yahoo.com | singleton-martinez.biz | leaked from Hall PLC
114,rstanton@hotmail.com,rstanton@hotmail.com,10d79662ce419ce4fb37c08a341398411053eb3797ab30b8b3752a83ba42c37a,Smith LLC,retail,rstanton@hotmail.com | greer.com | leaked from Smith LLC
115,kristin81@hotmail.com,kristin81@hotmail.com,e6b42dd36c388e294ef14a7498514a3c6d20913a118dc6d72e52c028030742d9,"Moore, Rice and Briggs",healthcare,"kristin81@hotmail.com | smith.com | leaked from Moore, Rice and Briggs"
116,johnsimpson@gmail.com,johnsimpson@gmail.com,906fbb97c44ad4bebb3af758f15604f06a17e3ca83212f690fd826e765195573,"Richardson, Conway and Carpenter",gaming,"johnsimpson@gmail.com | johnson.com | leaked from Richardson, Conway and Carpenter"
117,davidpacheco@hotmail.com,davidpacheco@hotmail.com,a1a904e1f40ad0caaac89b11102a592fc7b33ae4bfe2126dca25c66a9923a6bb,Khan-Rocha,gaming,davidpacheco@hotmail.com | dunn.com | leaked from Khan-Rocha
